Found valid dice [1, 2, 2, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 6, 6, 7] and [1, 5, 5, 9, 9, 9, 13, 13, 13, 13, 17, 17, 17, 21, 21, 25]
Found valid dice [1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7, 8, 8, 9] and [1, 3, 5, 7, 9, 9, 11, 11, 13, 13, 15, 15, 17, 19, 21, 23]
Found valid dice [1, 2, 2, 3, 3, 4, 4, 5, 9, 10, 10, 11, 11, 12, 12, 13] and [1, 3, 5, 5, 7, 7, 9, 9, 11, 11, 13, 13, 15, 15, 17, 19]
Found valid dice [1, 2, 2, 3, 5, 5, 6, 6, 6, 6, 7, 7, 9, 10, 10, 11] and [1, 3, 3, 5, 9, 9, 11, 11, 11, 11, 13, 13, 17, 19, 19, 21]
Found valid dice [1, 2, 2, 3, 5, 6, 6, 7, 9, 10, 10, 11, 13, 14, 14, 15] and [1, 3, 3, 5, 5, 7, 7, 9, 9, 11, 11, 13, 13, 15, 15, 17]
Found valid dice [1, 2, 2, 3, 9, 9, 10, 10, 10, 10, 11, 11, 17, 18, 18, 19] and [1, 3, 3, 5, 5, 5, 7, 7, 7, 7, 9, 9, 9, 11, 11, 13]
Found valid dice [1, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7, 8, 8, 9, 10] and [1, 2, 5, 6, 9, 9, 10, 10, 13, 13, 14, 14, 17, 18, 21, 22]
Found valid dice [1, 2, 3, 3, 4, 4, 5, 6, 9, 10, 11, 11, 12, 12, 13, 14] and [1, 2, 5, 5, 6, 6, 9, 9, 10, 10, 13, 13, 14, 14, 17, 18]
Found valid dice [1, 2, 3, 4, 5, 5, 6, 6, 7, 7, 8, 8, 9, 10, 11, 12] and [1, 2, 3, 4, 9, 9, 10, 10, 11, 11, 12, 12, 17, 18, 19, 20]
Found valid dice [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16] and [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]
